filename,filters_per_layer,number_of_layers,total_filters,kernel_size,input_size,cpu_utilization_avg,memory_utilization_avg,cpu_power_avg,tpu_power_avg,inference_time,usb_type,tpu_mode,block_type,total_power_avg,total_energy_joules,joules_per_input,inference_time_per_input
cnn_fullconv_10_20_repeat5_shape1280x720.csv,10,5,50,20,921600,38.7928201370482,1919.168513253012,1.139820503426205,0.2636493760918679,420.0,usb2,std,fullconv,5.153469879518073,2164.4573493975904,2.1644573493975905,0.42
cnn_fullconv_10_2_repeat5_shape1280x720.csv,10,5,50,2,921600,48.425176287333336,1926.2183333333328,1.3806294071833334,0.12178392615,380.0,usb2,std,fullconv,5.252413333333333,1995.9170666666664,1.9959170666666664,0.38
cnn_fullconv_10_3_repeat5_shape1280x720.csv,10,5,50,3,921600,47.07164720666667,1920.5642213333333,1.3467911801666668,0.1325688198333328,380.0,usb2,std,fullconv,5.22936,1987.1568,1.9871568,0.38
cnn_fullconv_10_4_repeat5_shape1280x720.csv,10,5,50,4,921600,46.11650828666667,1921.1767973333328,1.3229127071666669,0.1569539595,380.0,usb2,std,fullconv,5.229866666666667,1987.3493333333336,1.9873493333333336,0.38
cnn_fullconv_10_5_repeat5_shape1280x720.csv,10,5,50,5,921600,45.595912957,1920.3945573333328,1.309897823925,0.1509821760750003,380.0,usb2,std,fullconv,5.21088,1980.1344,1.9801344,0.38
cnn_fullconv_10_6_repeat5_shape1280x720.csv,10,5,50,6,921600,45.1084511,1919.863008,1.2977112775,0.1831687224999996,380.0,usb2,std,fullconv,5.23088,1987.7344,1.9877344,0.38
cnn_fullconv_10_7_repeat5_shape1280x720.csv,10,5,50,7,921600,44.70952207824676,1922.041062337662,1.287738051956169,0.1647554545373371,390.0,usb2,std,fullconv,5.202493506493506,2028.9724675324676,2.0289724675324674,0.39
cnn_fullconv_10_8_repeat5_shape1280x720.csv,10,5,50,8,921600,44.03085402305195,1925.301477922078,1.2707713505762988,0.1489039740990252,390.0,usb2,std,fullconv,5.169675324675324,2016.1733766233765,2.0161733766233763,0.39
cnn_fullconv_10_9_repeat5_shape1280x720.csv,10,5,50,9,921600,44.07058654155844,1918.245,1.271764663538961,0.1923262455519481,390.0,usb2,std,fullconv,5.214090909090909,2033.4954545454543,2.0334954545454544,0.39
cnn_fullconv_10_10_repeat5_shape1280x720.csv,10,5,50,10,921600,45.59799324366667,1926.670298666667,1.3099498310916668,0.4062901689083329,380.0,usb2,max,fullconv,5.46624,2077.1712,2.0771712,0.38
cnn_fullconv_10_11_repeat5_shape1280x720.csv,10,5,50,11,921600,45.74681612736487,1929.243581081081,1.3136704031841215,0.4158836508699322,375.0,usb2,max,fullconv,5.479554054054054,2054.8327702702704,2.0548327702702704,0.375
cnn_fullconv_10_12_repeat5_shape1280x720.csv,10,5,50,12,921600,45.5075273489726,1929.3050520547945,1.307688183724315,0.4274898984674671,370.0,usb2,max,fullconv,5.485178082191782,2029.5158904109592,2.029515890410959,0.37
cnn_fullconv_10_13_repeat5_shape1280x720.csv,10,5,50,13,921600,45.42111321466666,1929.4192933333336,1.3055278303666664,0.4177921696333335,380.0,usb2,max,fullconv,5.47332,2079.8616,2.0798616,0.38
cnn_fullconv_10_14_repeat5_shape1280x720.csv,10,5,50,14,921600,44.82352007808218,1929.4933753424657,1.2905880019520546,0.4393846007876707,370.0,usb2,max,fullconv,5.479972602739726,2027.5898630136985,2.0275898630136986,0.37
cnn_fullconv_10_15_repeat5_shape1280x720.csv,10,5,50,15,921600,44.16404324864865,1930.985118918919,1.2741010812162163,0.4431286485135146,375.0,usb2,max,fullconv,5.4672297297297305,2050.2111486486488,2.050211148648649,0.375
