,filename,filters_per_layer,number_of_layers,total_filters,kernel_size,input_size,cpu_utilization_avg,memory_utilization_avg,cpu_power_avg,tpu_power_avg,inference_time,usb_type,tpu_mode,block_type,total_power_avg,total_energy_joules,joules_per_input,inference_time_per_input,processed_inputs,round
33,cnn_fullconv_4_1_repeat3_shape96x96.csv,4,3,12,1,9216,44.893912203125,2030.615325,1.292347805078125,0.1315271949218752,46,usb2,max,fullconv,5.073875,233.39825,0.023339825,0.004580831,10000,output-round6
34,cnn_fullconv_4_1_repeat4_shape96x96.csv,4,4,16,1,9216,45.327013884375,2032.56155,1.303175347109375,0.0803246528906251,47,usb2,max,fullconv,5.0335,236.5745,0.02365745,0.004699096,10000,output-round6
35,cnn_fullconv_4_1_repeat5_shape96x96.csv,4,5,20,1,9216,45.04424448125,2027.291975,1.2961061120312498,0.2370188879687504,48,usb2,max,fullconv,5.183125,248.79,0.024879,0.004751665,10000,output-round6
36,cnn_fullconv_4_1_repeat6_shape96x96.csv,4,6,24,1,9216,41.520725340625,2018.52345,1.208018133515625,0.2514818664843754,46,usb2,max,fullconv,5.109500000000001,235.03700000000003,0.0235037,0.0045949995,10000,output-round6
37,cnn_fullconv_4_1_repeat7_shape96x96.csv,4,7,28,1,9216,45.358808815625,2032.573975,1.303970220390625,0.1864047796093757,47,usb2,max,fullconv,5.140375000000001,241.597625,0.0241597625,0.0047154659,10000,output-round6
38,cnn_fullconv_4_1_repeat8_shape96x96.csv,4,8,32,1,9216,45.428725271875,2031.926675,1.305718131796875,-0.0835931317968743,47,usb2,max,fullconv,4.8721250000000005,228.989875,0.0228989875,0.0047499384999999,10000,output-round6
39,cnn_fullconv_4_1_repeat9_shape96x96.csv,4,9,36,1,9216,44.932707425,2032.354475,1.293317685625,-0.0616926856250001,48,usb2,max,fullconv,4.881625,234.318,0.0234318,0.0047715113,10000,output-round6
40,cnn_fullconv_64_1_repeat10_shape96x96.csv,64,10,640,1,9216,41.45956865555556,2028.3592888888888,1.206489216388889,0.305510783611111,52,usb2,max,fullconv,5.162,268.424,0.0268424,0.0051936497,10000,output-round6
41,cnn_fullconv_64_1_repeat1_shape96x96.csv,64,1,64,1,9216,42.67018946562499,2017.568525,1.2367547366406249,0.1492452633593748,47,usb2,max,fullconv,5.036,236.692,0.0236691999999999,0.004627432,10000,output-round6
42,cnn_fullconv_64_1_repeat2_shape96x96.csv,64,2,128,1,9216,45.1554292,2031.677725,1.29888573,0.0301142699999998,46,usb2,max,fullconv,4.979,229.034,0.0229034,0.004686702,10000,output-round6
43,cnn_fullconv_64_1_repeat3_shape96x96.csv,64,3,192,1,9216,44.3698392875,2036.649825,1.2792459821875,0.1826290178125007,48,usb2,max,fullconv,5.111875,245.37,0.024537,0.0047661278,10000,output-round6
44,cnn_fullconv_64_1_repeat4_shape96x96.csv,64,4,256,1,9216,42.4567166375,2033.234475,1.2314179159375,0.2779570840625007,48,usb2,max,fullconv,5.159375000000001,247.65000000000003,0.024765,0.0047945270999999,10000,output-round6
45,cnn_fullconv_64_1_repeat5_shape96x96.csv,64,5,320,1,9216,42.179176265625,2031.174475,1.224479406640625,0.0855205933593752,48,usb2,max,fullconv,4.96,238.08,0.023808,0.0048738898,10000,output-round6
46,cnn_fullconv_64_1_repeat6_shape96x96.csv,64,6,384,1,9216,39.43272921666667,2018.9011333333333,1.1558182304166669,0.1979595473611115,50,usb2,max,fullconv,5.0037777777777785,250.18888888888893,0.0250188888888888,0.0049647495,10000,output-round6
